No,Class,クラス名
1,"000_kit_fox,_Vulpes_macrotis",キットギツネ
2,001_English_setter,イングリッシュ・セター
3,002_Australian_terrier,オーストラリアン・テリア
4,"003_grey_whale,_gray_whale,_devilfish,_Eschrichtius_gibbosus,_Eschrichtius_robustus",コククジラ
5,"004_lesser_panda,_red_panda,_panda,_bear_cat,_cat_bear,_Ailurus_fulgens",レッサーパンダ
6,005_Egyptian_cat,エジプシャンマウ
7,"006_ibex,_Capra_ibex",アイベックス
8,007_Persian_cat,ペルシャ猫
9,"008_cougar,_puma,_catamount,_mountain_lion,_painter,_panther,_Felis_concolor",ピューマ
10,009_gazelle,ガゼル
11,"010_porcupine,_hedgehog",ヤマアラシ
12,011_sea_lion,アシカ
13,012_badger,狸
14,013_Great_Dane,グレート・デーン
15,"014_Scottish_deerhound,_deerhound",スコティッシュ・ディアハウンド
16,"015_killer_whale,_killer,_orca,_grampus,_sea_wolf,_Orcinus_orca",シャチ
17,016_mink,ミンク
18,"017_African_elephant,_Loxodonta_africana",アフリカゾウ
19,"018_red_wolf,_maned_wolf,_Canis_rufus,_Canis_niger",アメリカアカオオカミ
20,"019_jaguar,_panther,_Panthera_onca,_Felis_onca",ジャガー
21,"020_hyena,_hyaena",ハイエナ
22,"021_titi,_titi_monkey",ティティサル
23,"022_three-toed_sloth,_ai,_Bradypus_tridactylus",ミユビナマケモノ
24,023_sorrel,栗毛馬
25,"024_black-footed_ferret,_ferret,_Mustela_nigripes",フェレット
26,"025_dalmatian,_coach_dog,_carriage_dog",ダルメシアン
27,"026_Staffordshire_bullterrier,_Staffordshire_bull_terrier",スタッフォードシャー・ブル・テリア
28,"027_Bouvier_des_Flandres,_Bouviers_des_Flandres",ブービエ・デ・フランダース
29,028_weasel,イタチ
30,029_miniature_poodle,ミニチュアプードル
31,"030_bighorn,_bighorn_sheep,_cimarron,_Rocky_Mountain_bighorn,_Rocky_Mountain_sheep,_Ovis_canadensis",ビッグホーン
32,"031_fox_squirrel,_eastern_fox_squirrel,_Sciurus_niger",キツネリス
33,"032_colobus,_colobus_monkey",コロブスサル
34,033_tiger_cat,ジャガーネコ
35,"034_impala,_Aepyceros_melampus",インパラ
36,"035_coyote,_prairie_wolf,_brush_wolf,_Canis_latrans",コヨーテ
37,036_Yorkshire_terrier,ヨークシャーテリア
38,"037_Newfoundland,_Newfoundland_dog",ニューファンドランド
39,"038_red_fox,_Vulpes_vulpes",アカギツネ
40,039_hartebeest,ハーテビースト
41,"040_grey_fox,_gray_fox,_Urocyon_cinereoargenteus",ハイイロギツネ
42,"041_Pekinese,_Pekingese,_Peke",ペキニーズ
43,"042_guenon,_guenon_monkey",グエノン
44,043_mongoose,マングース
45,"044_indri,_indris,_Indri_indri,_Indri_brevicaudatus",インドリ
46,"045_tiger,_Panthera_tigris",トラ
47,"046_wild_boar,_boar,_Sus_scrofa",イノシシ
48,047_zebra,シマウマ
49,"048_ram,_tup",雄羊
50,"049_orangutan,_orang,_orangutang,_Pongo_pygmaeus",オランウータン
51,050_basenji,バセンジー
52,"051_leopard,_Panthera_pardus",ヒョウ
53,"052_vizsla,_Hungarian_pointer",ショートヘアード・ハンガリアン・ビズラ
54,"053_squirrel_monkey,_Saimiri_sciureus",リスザル
55,"054_Siamese_cat,_Siamese",シャム猫
56,"055_chimpanzee,_chimp,_Pan_troglodytes",チンパンジー
57,056_komondor,コモンドール
58,"057_proboscis_monkey,_Nasalis_larvatus",テングザル
59,"058_guinea_pig,_Cavia_cobaya",モルモット
60,"059_white_wolf,_Arctic_wolf,_Canis_lupus_tundrarum",ホッキョクオオカミ
61,"060_ice_bear,_polar_bear,_Ursus_Maritimus,_Thalarctos_maritimus",ホッキョクグマ
62,"061_gorilla,_Gorilla_gorilla",ゴリラ
63,062_ox,雄牛
64,063_Tibetan_mastiff,チベタン・マスティフ
65,"064_spider_monkey,_Ateles_geoffroyi",クモザル
66,"065_Doberman,_Doberman_pinscher",ドーベルマン
67,066_warthog,イボイノシシ
68,"067_Arabian_camel,_dromedary,_Camelus_dromedarius",ヒトコブラクダ
69,"068_siamang,_Hylobates_syndactylus,_Symphalangus_syndactylus",フクロテナガザル
70,069_golden_retriever,ゴールデンレトリバー
71,070_Border_collie,ボーダー・コリー
72,071_hare,野ウサギ
73,072_boxer,ボクサー
74,"073_patas,_hussar_monkey,_Erythrocebus_patas",パタスモンキー
75,074_baboon,ヒヒ
76,075_macaque,マカク
77,"076_capuchin,_ringtail,_Cebus_capucinus",オマキザル
78,077_flat-coated_retriever,フラットコーテッド・レトリーバー
79,"078_hog,_pig,_grunter,_squealer,_Sus_scrofa",豚
80,"079_Eskimo_dog,_husky",エスキモー・ドッグ
81,080_Brittany_spaniel,ブリタニー・スパニエル
82,"081_dial_telephone,_dial_phone",ダイヤル電話
83,"082_maze,_labyrinth",迷路
84,083_Gordon_setter,ゴードン・セッター
85,"084_dingo,_warrigal,_warragal,_Canis_dingo",ディンゴ
86,085_hamster,ハムスター
87,"086_Arctic_fox,_white_fox,_Alopex_lagopus",ホッキョクギツネ
88,"087_water_buffalo,_water_ox,_Asiatic_buffalo,_Bubalus_bubalis",水牛
89,"088_American_black_bear,_black_bear,_Ursus_americanus,_Euarctos_americanus",アメリカグマ
90,"089_Angora,_Angora_rabbit",アンゴラウサギ
91,090_bison,バイソン
92,"091_howler_monkey,_howler",ホエザル
93,"092_hippopotamus,_hippo,_river_horse,_Hippopotamus_amphibius",カバ
94,"093_giant_panda,_panda,_panda_bear,_coon_bear,_Ailuropoda_melanoleuca",パンダ
95,"094_tabby,_tabby_cat",トラネコ
96,095_marmoset,マーモセット
97,"096_Saint_Bernard,_St_Bernard",セントバーナード
98,097_armadillo,アルマジロ
99,098_redbone,レッドボーン・クーンハウンド
100,"099_polecat,_fitch,_foulmart,_foumart,_Mustela_putorius",ヨーロッパケナガイタチ
101,100_marmot,マーモット
102,"101_gibbon,_Hylobates_lar",テナガザル
103,102_llama,リャマ
104,"103_wood_rabbit,_cottontail,_cottontail_rabbit",ワタオウサギ
105,"104_lion,_king_of_beasts,_Panthera_leo",ライオン
106,"105_Irish_setter,_red_setter",アイリッシュ・セッター
107,"106_dugong,_Dugong_dugon",ジュゴン
108,"107_Indian_elephant,_Elephas_maximus",インドゾウ
109,108_beaver,ビーバー
110,"109_Madagascar_cat,_ring-tailed_lemur,_Lemur_catta",ワオキツネザル
111,110_Rhodesian_ridgeback,ローデシアン・リッジバック
112,"111_lynx,_catamount",オオヤマネコ
113,"112_African_hunting_dog,_hyena_dog,_Cape_hunting_dog,_Lycaon_pictus",リカオン
114,113_langur,ハヌマンラングール
115,"114_timber_wolf,_grey_wolf,_gray_wolf,_Canis_lupus",タイリクオオカミ
116,"115_cheetah,_chetah,_Acinonyx_jubatus",チーター
117,"116_sloth_bear,_Melursus_ursinus,_Ursus_ursinus",ナマケグマ
118,"117_German_shepherd,_German_shepherd_dog,_German_police_dog,_alsatian",ジャーマン・シェパード・ドッグ
119,118_otter,カワウソ
120,"119_koala,_koala_bear,_kangaroo_bear,_native_bear,_Phascolarctos_cinereus",コアラ
121,120_tusker,ゾウ
122,"121_echidna,_spiny_anteater,_anteater",ハリモグラ
123,"122_wallaby,_brush_kangaroo",ワラビー
124,"123_platypus,_duckbill,_duckbilled_platypus,_duck-billed_platypus,_Ornithorhynchus_anatinus",カモノハシ
125,124_wombat,ウォンバット
126,"125_revolver,_six-gun,_six-shooter",回転式拳銃
127,126_umbrella,傘
128,127_schooner,スクーナー
129,128_soccer_ball,サッカーボール
130,"129_accordion,_piano_accordion,_squeeze_box",アコーディオン
131,"130_ant,_emmet,_pismire",アリ
132,"131_starfish,_sea_star",ヒトデ
133,"132_chambered_nautilus,_pearly_nautilus,_nautilus",オウムガイ
134,"133_grand_piano,_grand",グランドピアノ
135,"134_laptop,_laptop_computer",ラップトップコンピュータ
136,135_strawberry,イチゴ
137,136_airliner,旅客機
138,"137_warplane,_military_plane",戦闘機
139,"138_airship,_dirigible",飛行船、飛行船
140,139_balloon,バルーン
141,140_space_shuttle,スペースシャトル
142,141_fireboat,消防船
143,142_gondola,ゴンドラ
144,143_speedboat,モーターボート
145,144_lifeboat,救命艇
146,145_canoe,カヌー
147,146_yawl,ヨール
148,147_catamaran,双胴船
149,148_trimaran,三胴船
150,"149_container_ship,_containership,_container_vessel",コンテナ船
151,"150_liner,_ocean_liner",オーシャン・ライナー
152,"151_pirate,_pirate_ship",海賊船
153,"152_aircraft_carrier,_carrier,_flattop,_attack_aircraft_carrier",空母
154,"153_submarine,_pigboat,_sub,_U-boat",潜水艦
155,154_wreck,難破
156,155_half_track,半装軌車
157,"156_tank,_army_tank,_armored_combat_vehicle,_armoured_combat_vehicle",装甲戦車
158,157_missile,ミサイル
159,"158_bobsled,_bobsleigh,_bob",ボブスレー
160,"159_dogsled,_dog_sled,_dog_sleigh",犬ぞり
161,"160_bicycle-built-for-two,_tandem_bicycle,_tandem",タンデム自転車
162,"161_mountain_bike,_all-terrain_bike,_off-roader",マウンテンバイク
163,162_freight_car,貨車
164,"163_passenger_car,_coach,_carriage",客車
165,"164_barrow,_garden_cart,_lawn_cart,_wheelbarrow",手押し車
166,165_shopping_cart,ショッピングカート
167,"166_motor_scooter,_scooter",スクーター
168,167_forklift,フォークリフト
169,168_electric_locomotive,電気機関車
170,169_steam_locomotive,蒸気機関車
171,"170_amphibian,_amphibious_vehicle",水陸両用車
172,171_ambulance,救急車
173,"172_beach_wagon,_station_wagon,_wagon,_estate_car,_beach_waggon,_station_waggon,_waggon",ステーションワゴン
174,"173_cab,_hack,_taxi,_taxicab",タクシー
175,174_convertible,コンバーチブル
176,"175_jeep,_landrover",ジープ
177,"176_limousine,_limo",リムジン
178,177_minivan,ミニバン
179,178_Model_T,フォード・モデルT
180,"179_racer,_race_car,_racing_car",レースカー
181,"180_sports_car,_sport_car",スポーツカー
182,181_go-kart,ゴーカート
183,"182_golfcart,_golf_cart",ゴルフカート
184,183_moped,モペッド
185,"184_snowplow,_snowplough",除雪車
186,"185_fire_engine,_fire_truck",消防車
187,"186_garbage_truck,_dustcart",ゴミ収集車
188,"187_pickup,_pickup_truck",ピックアップトラック
189,"188_tow_truck,_tow_car,_wrecker",レッカー車
190,"189_trailer_truck,_tractor_trailer,_trucking_rig,_rig,_articulated_lorry,_semi",トレーラー
191,190_moving_van,引っ越しトラック
192,"191_police_van,_police_wagon,_paddy_wagon,_patrol_wagon,_wagon,_black_Maria",警察バン
193,"192_recreational_vehicle,_RV,_R.V.",キャンピングカー
194,"193_streetcar,_tram,_tramcar,_trolley,_trolley_car",路面電車
195,194_snowmobile,スノーモービル
196,195_tractor,トラクター
197,"196_mobile_home,_manufactured_home",トレーラーハウス
198,"197_tricycle,_trike,_velocipede",三輪車
199,"198_unicycle,_monocycle",一輪車
200,"199_horse_cart,_horse-cart",馬車
201,200_mosquito_net,天蓋
202,201_oxcart,牛車
203,202_bassinet,新生児用ベッド
204,203_cradle,ゆりかご
205,"204_crib,_cot",ベビーベッド
206,205_four-poster, 四柱式ベッド
207,206_bookcase,本棚
208,"207_china_cabinet,_china_closet",食器棚
209,"208_medicine_chest,_medicine_cabinet",薬箱
210,"209_chiffonier,_commode",たんす
211,210_table_lamp,電気スタンド
212,"211_file,_file_cabinet,_filing_cabinet",書類整理棚
213,"212_pay-phone,_pay-station",公衆電話
214,213_park_bench,公園のベンチ
215,214_barber_chair,理髪椅子
216,215_throne,王座
217,216_folding_chair,折りたたみ椅子
218,"217_rocking_chair,_rocker",ロッキングチェア
219,"218_studio_couch,_day_bed",ソファベッド
220,219_toilet_seat,便座
221,220_desk,机
222,"221_pool_table,_billiard_table,_snooker_table",ビリヤードテーブル
223,"222_dining_table,_board",ダイニングテーブル
224,223_entertainment_center,エンターテインメント・センター家具
225,"224_wardrobe,_closet,_press",衣装ダンス
226,225_Granny_Smith,グラニースミス
227,226_orange,オレンジ
228,227_lemon,レモン
229,228_fig,イチジク
230,"229_pineapple,_ananas",パイナップル
231,230_banana,バナナ
232,"231_jackfruit,_jak,_jack",パラミツ
233,232_custard_apple,バンレイシ
234,233_pomegranate,ザクロ
235,234_acorn,ドングリ
236,"235_hip,_rose_hip,_rosehip",ローズヒップ
237,"236_ear,_spike,_capitulum",トウモロコシ（下穂）
238,237_rapeseed,セイヨウアブラナ
239,238_corn,コーン
240,"239_buckeye,_horse_chestnut,_conker",トチノキ
241,"240_organ,_pipe_organ",パイプオルガン
242,"241_upright,_upright_piano",アップライトピアノ
243,"242_chime,_bell,_gong",ベル
244,"243_drum,_membranophone,_tympan",ドラム
245,"244_gong,_tam-tam",ゴング
246,245_maraca,マラカス
247,"246_marimba,_xylophone",マリンバ
248,247_steel_drum,スチールドラム
249,248_banjo,バンジョー
250,"249_cello,_violoncello",チェロ
251,"250_lampshade,_lamp_shade",ランプのかさ
252,251_harp,ハープ
253,252_acoustic_guitar,アコースティックギター
254,253_electric_guitar,エレキギター
255,"254_cornet,_horn,_trumpet,_trump",トランペット
256,"255_French_horn,_horn",ホルン
257,256_trombone,トロンボーン
258,"257_harmonica,_mouth_organ,_harp,_mouth_harp",ハーモニカ
259,"258_ocarina,_sweet_potato",オカリナ
260,"259_panpipe,_pandean_pipe,_syrinx",パンパイプ
261,260_bassoon,ファゴット
262,"261_sax,_saxophone",サックス
263,"262_flute,_transverse_flute",フルート
264,263_daisy,デイジー
265,"264_yellow_lady's_slipper,_yellow_lady-slipper,_Cypripedium_calceolus,_Cypripedium_parviflorum",カラフトアツモリソウ
266,"265_cliff,_drop,_drop-off",崖
267,"266_valley,_vale",谷
268,267_alp,高山
269,268_volcano,火山
270,"269_promontory,_headland,_head,_foreland",岬
271,"270_sandbar,_sand_bar",砂州
272,271_coral_reef,サンゴ礁
273,"272_lakeside,_lakeshore",湖畔
274,"273_seashore,_coast,_seacoast,_sea-coast",海岸
275,274_geyser,間欠泉
276,275_hatchet,手斧
277,"276_cleaver,_meat_cleaver,_chopper",なた
278,"277_letter_opener,_paper_knife,_paperknife",ペーパーナイフ
279,"278_plane,_carpenter's_plane,_woodworking_plane",大工用かんな
280,279_power_drill,パワードリル
281,"280_lawn_mower,_mower",芝刈機
282,281_hammer,ハンマー
283,"282_corkscrew,_bottle_screw",コルクスクリュー、ボトルスクリュー
284,"283_can_opener,_tin_opener",缶切り
285,"284_plunger,_plumber's_helper",ラバーカップ
286,285_screwdriver,ドライバー
287,286_shovel,シャベル
288,"287_plow,_plough",耕運機
289,"288_chain_saw,_chainsaw",チェーンソー
290,289_cock,ニワトリ
291,290_hen,めんどり
292,"291_ostrich,_Struthio_camelus",ダチョウ
293,"292_brambling,_Fringilla_montifringilla",アトリ
294,"293_goldfinch,_Carduelis_carduelis",ゴシキヒワ
295,"294_house_finch,_linnet,_Carpodacus_mexicanus",メキシコマシコ
296,"295_junco,_snowbird",ユキヒメドリ
297,"296_indigo_bunting,_indigo_finch,_indigo_bird,_Passerina_cyanea",ルリノジコ
298,"297_robin,_American_robin,_Turdus_migratorius",コマツグミ
299,298_bulbul,ヒヨドリ
300,299_jay,カケス
301,300_magpie,カササギ
302,301_chickadee,クロイロコガラ
303,"302_water_ouzel,_dipper",メキシコカワガラス
304,303_kite,トビ
305,"304_bald_eagle,_American_eagle,_Haliaeetus_leucocephalus",ワシ
306,305_vulture,コンドル
307,"306_great_grey_owl,_great_gray_owl,_Strix_nebulosa",フクロウ
308,307_black_grouse,クロライチョウ
309,308_ptarmigan,雷鳥
310,"309_ruffed_grouse,_partridge,_Bonasa_umbellus",エリマキライチョウ
311,"310_prairie_chicken,_prairie_grouse,_prairie_fowl",ソウゲンライチョウ
312,311_peacock,孔雀
313,312_quail,ウズラ
314,313_partridge,ヤマウズラ
315,"314_African_grey,_African_gray,_Psittacus_erithacus",ヨウム
316,315_macaw,コンゴウインコ
317,"316_sulphur-crested_cockatoo,_Kakatoe_galerita,_Cacatua_galerita",キバタン
318,317_lorikeet,ヒインコ
319,318_coucal,バンケン
320,319_bee_eater,ハチクイ
321,320_hornbill,サイチョウ
322,321_hummingbird,ハチドリ
323,322_jacamar,キリハシ
324,323_toucan,オオハシ
325,324_drake,鴨
326,"325_red-breasted_merganser,_Mergus_serrator",ウミアイサ
327,326_goose,ガチョウ
328,"327_black_swan,_Cygnus_atratus",ブラック・スワン
329,"328_white_stork,_Ciconia_ciconia",シュバシコウ
330,"329_black_stork,_Ciconia_nigra",ナベコウ
331,330_spoonbill,ヘラサギ
332,331_flamingo,フラミンゴ
333,"332_American_egret,_great_white_heron,_Egretta_albus",ユキコサギ
334,"333_little_blue_heron,_Egretta_caerulea",スミレサギ
335,334_bittern,サンカノゴイ
336,335_crane_animal,鶴
337,"336_limpkin,_Aramus_pictus",ツルモドキ
338,"337_American_coot,_marsh_hen,_mud_hen,_water_hen,_Fulica_americana",アメリカオオバン
339,338_bustard,ノガン
340,"339_ruddy_turnstone,_Arenaria_interpres",キョウジョシギ
341,"340_red-backed_sandpiper,_dunlin,_Erolia_alpina",ハマシギ
342,"341_redshank,_Tringa_totanus",アカアシシギ
343,342_dowitcher,オオハシシギ
344,"343_oystercatcher,_oyster_catcher",ミヤコドリ
345,"344_European_gallinule,_Porphyrio_porphyrio",クイナ
346,345_pelican,ペリカン
347,"346_king_penguin,_Aptenodytes_patagonica",キングペンギン
348,"347_albatross,_mollymawk",アホウドリ
349,"348_great_white_shark,_white_shark,_man-eater,_man-eating_shark,_Carcharodon_carcharias",ホホジロザメ
350,"349_tiger_shark,_Galeocerdo_cuvieri",イタチザメ
351,"350_hammerhead,_hammerhead_shark",シュモクザメ
352,"351_electric_ray,_crampfish,_numbfish,_torpedo",シビレエイ
353,352_stingray,アカエイ
354,"353_barracouta,_snoek",バラクーダ
355,"354_coho,_cohoe,_coho_salmon,_blue_jack,_silver_salmon,_Oncorhynchus_kisutch",ギンザケ
356,"355_tench,_Tinca_tinca",テンチ
357,"356_goldfish,_Carassius_auratus",金魚
358,357_eel,ウナギ
359,"358_rock_beauty,_Holocanthus_tricolor",ロック･ビューティー
360,359_anemone_fish,クマノミ
361,360_lionfish,ミノカサゴ
362,"361_puffer,_pufferfish,_blowfish,_globefish",フグ
363,362_sturgeon,チョウザメ
364,"363_gar,_garfish,_garpike,_billfish,_Lepisosteus_osseus",ダツ
365,"364_loggerhead,_loggerhead_turtle,_Caretta_caretta",アカウミガメ
366,365_mud_turtle,ドロガメ
367,366_terrapin,キスイガメ
368,"367_box_turtle,_box_tortoise",アメリカハコガメ
369,368_banded_gecko,バンドヤモリ
370,"369_common_iguana,_iguana,_Iguana_iguana",イグアナ
371,"370_American_chameleon,_anole,_Anolis_carolinensis",アノールトカゲ
372,"371_whiptail,_whiptail_lizard",ウィップテール・リザード
373,372_agama,アガマ
374,"373_frilled_lizard,_Chlamydosaurus_kingi",エリマキトカゲ
375,374_alligator_lizard,ワニトカゲ
376,"375_Gila_monster,_Heloderma_suspectum",アメリカドクトカゲ
377,"376_green_lizard,_Lacerta_viridis",グリーントカゲ
378,"377_African_chameleon,_Chamaeleo_chamaeleon",アフリカンカメレオン
379,"378_Komodo_dragon,_Komodo_lizard,_dragon_lizard,_giant_lizard,_Varanus_komodoensis",コモドドラゴン
380,379_triceratops,トリケラトプス
381,"380_African_crocodile,_Nile_crocodile,_Crocodylus_niloticus",ナイルワニ
382,"381_American_alligator,_Alligator_mississipiensis",アメリカアリゲーター
383,"382_thunder_snake,_worm_snake,_Carphophis_amoenus",サンダースネーク
384,"383_ringneck_snake,_ring-necked_snake,_ring_snake",クビワヘビ
385,"384_hognose_snake,_puff_adder,_sand_viper",ホーゴス・ヘビ
386,"385_green_snake,_grass_snake",アメリカアオヘビ
387,"386_king_snake,_kingsnake",キングヘビ
388,"387_garter_snake,_grass_snake",ガーターヘビ
389,388_water_snake,ミズベヘビ
390,389_vine_snake,ハナナガムチヘビ
391,"390_night_snake,_Hypsiglena_torquata",ナイトスネーク
392,"391_boa_constrictor,_Constrictor_constrictor",ボアコンストリクター
393,"392_rock_python,_rock_snake,_Python_sebae",アフリカニシキヘビ
394,"393_Indian_cobra,_Naja_naja",インドコブラ
395,394_green_mamba,ヒガシグリーンマンバ
396,395_sea_snake,ウミヘビ
397,"396_horned_viper,_cerastes,_sand_viper,_horned_asp,_Cerastes_cornutus",サハラツノクサリヘビ
398,397_stone_wall,石垣
399,"398_sidewinder,_horned_rattlesnake,_Crotalus_cerastes",ヨコバイガラガラヘビ
400,"399_European_fire_salamander,_Salamandra_salamandra",ヨーロッパサンショウウオ
401,"400_common_newt,_Triturus_vulgaris",スベイモリ
402,401_eft,イモリ
403,"402_spotted_salamander,_Ambystoma_maculatum",トラフサンショウウオ
404,"403_axolotl,_mud_puppy,_Ambystoma_mexicanum",ウーパールーパー
405,"404_bullfrog,_Rana_catesbeiana",ウシガエル
406,"405_tree_frog,_tree-frog",アマガエル
407,"406_tailed_frog,_bell_toad,_ribbed_toad,_tailed_toad,_Ascaphus_trui",スズガエル
408,407_whistle,ホイッスル
409,408_wing,翼
410,409_paintbrush,絵筆
411,410_oxygen_mask,酸素マスク
412,411_snorkel,シュノーケル
413,"412_loudspeaker,_speaker,_speaker_unit,_loudspeaker_system,_speaker_system",スピーカー
414,"413_microphone,_mike",マイク
415,"414_screen,_CRT_screen",CRT画面
416,"415_mouse,_computer_mouse",マウス
417,"416_electric_fan,_blower",扇風機
418,417_oil_filter,オイルフィルター
419,418_strainer,濾過器
420,419_space_heater,スペースヒーター
421,420_stove,ストーブ
422,421_guillotine,ギロチン
423,422_barometer,気圧計
424,"423_rule,_ruler",定規
425,"424_odometer,_hodometer,_mileometer,_milometer",走行距離計
426,"425_scale,_weighing_machine",計量機
427,426_analog_clock,アナログ時計
428,427_digital_clock,デジタル時計
429,428_wall_clock,壁時計
430,429_hourglass,砂時計
431,430_sundial,日時計
432,431_parking_meter,パーキングメーター
433,"432_stopwatch,_stop_watch",ストップウォッチ
434,433_digital_watch,デジタル腕時計
435,434_stethoscope,聴診器
436,435_syringe,注射器
437,436_magnetic_compass,方位磁針
438,"437_binoculars,_field_glasses,_opera_glasses",双眼鏡
439,438_projector,プロジェクター
440,"439_sunglasses,_dark_glasses,_shades",サングラス
441,"440_loupe,_jeweler's_loupe",ルーペ
442,"441_radio_telescope,_radio_reflector",電波望遠鏡
443,442_bow,蝶形リボン
444,443_cannon,大砲
445,"444_assault_rifle,_assault_gun",アサルトライフル
446,445_rifle,ライフル
447,"446_projectile,_missile",ミサイル
448,"447_computer_keyboard,_keypad",キーボード
449,448_typewriter_keyboard,タイプライターキーボード
450,449_crane_device,クレーン
451,"450_lighter,_light,_igniter,_ignitor",ライター
452,451_abacus,そろばん
453,"452_cash_machine,_cash_dispenser,_automated_teller_machine,_automatic_teller_machine,_automated_teller,_automatic_teller,_ATM",ATM
454,"453_slide_rule,_slipstick",計算尺
455,454_desktop_computer,デスクトップコンピューター
456,"455_hand-held_computer,_hand-held_microcomputer",ハンドヘルドコンピュータ
457,"456_notebook,_notebook_computer",ノートブックコンピュータ
458,457_padlock,南京錠
459,"458_harvester,_reaper",ハーベスター
460,"459_thresher,_thrasher,_threshing_machine",脱穀機
461,460_printer,プリンタ
462,"461_slot,_one-armed_bandit",スロット
463,462_vending_machine,自動販売機
464,463_sewing_machine,ミシン
465,464_joystick,ジョイスティック
466,"465_switch,_electric_switch,_electrical_switch",電気スイッチ
467,"466_hook,_claw",かぎ爪
468,467_car_wheel,車輪
469,"468_paddlewheel,_paddle_wheel",外輪
470,469_pinwheel,風車
471,470_potter's_wheel,ろくろ
